#<MCEnsembleInfo>cls21_s64_t128_D200</MCEnsembleInfo>
 # MomRay ar # P^2 = 0 # Box Irrep A1g

E_lab,E_cm
2.000000000000,2.000000000000
2.072861481307,2.072861481307
2.143247405544,2.143247405544
2.211394167049,2.211394167049
