#<MCEnsembleInfo>clover_s32_t256_ud860_s743</MCEnsembleInfo>
 # MomRay oa # P^2 = 1 # Box Irrep A1

E_lab,E_cm
3.610734803122,3.305939273616
4.459085925410,4.216073523143
5.065222349933,4.852659695118
5.455990584908,5.259245375999
5.626879643090,5.436322578746
6.475146407536,6.310257495648
6.667532781534,6.507520422957
6.917133395747,6.763029134709
6.976497552886,6.823734078039
7.233401845927,7.086178866429
7.397151072215,7.253252556442
7.619764582611,7.480149795076
7.834738152045,7.699022702491
7.938988330318,7.805085801661
8.066409430255,7.934657507345
8.160278518436,8.030066883956
8.257555270688,8.128901999091
8.488377412091,8.363275659242
8.582473698357,8.458763706674
