#<MCEnsembleInfo>cls21_s64_t128_D200</MCEnsembleInfo>
 # MomRay ar # P^2 = 0 # Box Irrep A1g

E_lab/mref,E_lab/mref_sym_err,E_cm/mref,E_cm/mref_sym_err,(q/mref)^2,(q/mref)^2_sym_err,q/mref_cot_delta,q/mref_cot_delta_sym_err
2.001574687416,0.000286169811,2.001574687416,0.000286169811,0.001575307326,0.000286394903,-0.756012372029,0.116172838296
2.009206066310,0.008782495930,2.009206066310,0.008782495930,0.009227254225,0.008822836934,-0.200741371187,0.137152581315
2.072180965442,0.000894201947,2.072180965442,0.000894201947,0.073483488385,0.000926456160,-40.439292966409,446.095716815379
2.074954899897,0.008639669008,2.074954899897,0.008639669008,0.076359459151,0.008963375908,-1.998463935553,7.144407284442
2.115925297797,0.007455975177,2.115925297797,0.007455975177,0.119284966465,0.007888035180,0.236088202155,0.165138254118
2.135336039603,0.008428198478,2.135336039603,0.008428198478,0.139915000507,0.008998469968,1.685694048780,2.377759150626
2.166962777386,0.001215944171,2.166962777386,0.001215944171,0.173931919645,0.001317422361,-0.361029670505,0.018230015612
2.203655099051,0.007494643063,2.203655099051,0.007494643063,0.214023948893,0.008257671621,1.213912430397,1.826254233276
2.222273057089,0.008464890089,2.222273057089,0.008464890089,0.234624385066,0.009405576908,-0.547054406923,0.391564491821
2.223282461873,0.001976969280,2.223282461873,0.001976969280,0.235746226318,0.002197663311,-0.500171902426,0.053175447088
