#<MCEnsembleInfo>clover_s32_t256_ud860_s743</MCEnsembleInfo>
 # MomRay oa # P^2 = 1 # Box Irrep E

E_lab,E_cm,Omega_re,Omega_im
5.291103956886,5.087986806679,0.864746241464,-0.424538751454
5.291612664403,5.088515820201,0.866782550814,-0.420713493304
5.292121371920,5.089044829582,0.868770772541,-0.416933143946
5.292630079436,5.089573834823,0.870712243403,-0.413197198553
5.293138786953,5.090102835927,0.872608259168,-0.409505147377
5.293647494470,5.090631832894,0.874460075886,-0.405856476729
5.294156201986,5.091160825725,0.876268911131,-0.402250669885
5.294664909503,5.091689814422,0.878035945208,-0.398687207929
5.295173617020,5.092218798986,0.879762322327,-0.395165570520
5.295682324536,5.092747779418,0.881449151744,-0.391685236605
5.296191032053,5.093276755721,0.883097508869,-0.388245685072
5.296699739570,5.093805727894,0.884708436344,-0.384846395354
5.297208447086,5.094334695939,0.886282945087,-0.381486847974
5.297717154603,5.094863659858,0.887822015305,-0.378166525056
5.298225862120,5.095392619651,0.889326597478,-0.374884910785
5.298734569636,5.095921575321,0.890797613313,-0.371641491826
5.299243277153,5.096450526868,0.892235956666,-0.368435757714
5.299751984670,5.096979474294,0.893642494439,-0.365267201197
5.300260692186,5.097508417600,0.895018067447,-0.362135318559
5.300769399703,5.098037356787,0.896363491257,-0.359039609902
5.301278107220,5.098566291856,0.897679557002,-0.355979579411
5.301786814737,5.099095222809,0.898967032169,-0.352954735580
5.302295522253,5.099624149648,0.900226661360,-0.349964591425
5.302804229770,5.100153072372,0.901459167029,-0.347008664669
5.303312937287,5.100681990985,0.902665250196,-0.344086477907
5.303821644803,5.101210905486,0.903845591138,-0.341197558754
5.304330352320,5.101739815877,0.905000850057,-0.338341439967
5.304839059837,5.102268722160,0.906131667721,-0.335517659563
5.305347767353,5.102797624335,0.907238666095,-0.332725760910
5.305856474870,5.103326522405,0.908322448940,-0.329965292811
5.306365182387,5.103855416370,0.909383602398,-0.327235809568
5.306873889903,5.104384306231,0.910422695558,-0.324536871044
5.307382597420,5.104913191991,0.911440281000,-0.321868042703
5.307891304937,5.105442073649,0.912436895320,-0.319228895644
5.308400012453,5.105970951208,0.913413059645,-0.316619006628
5.308908719970,5.106499824668,0.914369280121,-0.314037958091
5.309417427487,5.107028694032,0.915306048392,-0.311485338155
5.309926135003,5.107557559299,0.916223842058,-0.308960740622
5.310434842520,5.108086420472,0.917123125123,-0.306463764972
5.310943550037,5.108615277552,0.918004348422,-0.303994016349
