#<MCEnsembleInfo>clover_s32_t256_ud860_s743</MCEnsembleInfo>
 # MomRay cd # P^2 = 3 # Box Irrep E

E_lab,E_cm,Omega_re,Omega_im
7.372997414389,6.930842435064,0.564350203202,0.702535489452
7.373085802245,6.930936461573,0.564310731920,0.702566881328
7.373174190100,6.931030487933,0.564271123746,0.702598379015
7.373262577956,6.931124514145,0.564231377544,0.702629983385
7.373350965811,6.931218540208,0.564191492163,0.702661695319
7.373439353667,6.931312566123,0.564151466440,0.702693515704
7.373527741522,6.931406591890,0.564111299201,0.702725445441
7.373616129378,6.931500617508,0.564070989257,0.702757485437
7.373704517233,6.931594642978,0.564030535409,0.702789636611
7.373792905089,6.931688668299,0.563989936442,0.702821899889
7.373881292944,6.931782693472,0.563949191130,0.702854276210
7.373969680800,6.931876718497,0.563908298233,0.702886766521
7.374058068655,6.931970743374,0.563867256498,0.702919371781
7.374146456511,6.932064768102,0.563826064657,0.702952092956
7.374234844366,6.932158792682,0.563784721428,0.702984931026
7.374323232222,6.932252817113,0.563743225517,0.703017886981
7.374411620077,6.932346841396,0.563701575614,0.703050961819
7.374500007932,6.932440865531,0.563659770394,0.703084156552
7.374588395788,6.932534889518,0.563617808519,0.703117472202
7.374676783643,6.932628913356,0.563575688635,0.703150909802
7.374765171499,6.932722937046,0.563533409373,0.703184470396
7.374853559354,6.932816960588,0.563490969349,0.703218155041
7.374941947210,6.932910983981,0.563448367162,0.703251964803
7.375030335065,6.933005007226,0.563405601397,0.703285900764
7.375118722921,6.933099030323,0.563362670623,0.703319964013
7.375207110776,6.933193053272,0.563319573392,0.703354155654
7.375295498632,6.933287076072,0.563276308238,0.703388476805
7.375383886487,6.933381098724,0.563232873682,0.703422928593
7.375472274343,6.933475121228,0.563189268225,0.703457512159
7.375560662198,6.933569143584,0.563145490351,0.703492228657
7.375649050054,6.933663165791,0.563101538529,0.703527079256
7.375737437909,6.933757187850,0.563057411208,0.703562065134
7.375825825765,6.933851209761,0.563013106819,0.703597187487
7.375914213620,6.933945231524,0.562968623775,0.703632447521
7.376002601475,6.934039253138,0.562923960473,0.703667846458
7.376090989331,6.934133274605,0.562879115288,0.703703385533
7.376179377186,6.934227295923,0.562834086577,0.703739065996
7.376267765042,6.934321317093,0.562788872678,0.703774889110
7.376356152897,6.934415338115,0.562743471909,0.703810856155
7.376444540753,6.934509358988,0.562697882570,0.703846968423
7.376532928608,6.934603379714,0.562652102937,0.703883227225
7.376621316464,6.934697400291,0.562606131268,0.703919633882
7.376709704319,6.934791420720,0.562559965801,0.703956189736
7.376798092175,6.934885441001,0.562513604751,0.703992896140
7.376886480030,6.934979461134,0.562467046312,0.704029754467
7.376974867886,6.935073481118,0.562420288658,0.704066766104
7.377063255741,6.935167500955,0.562373329937,0.704103932454
7.377151643597,6.935261520643,0.562326168280,0.704141254938
7.377240031452,6.935355540183,0.562278801789,0.704178734994
7.377328419308,6.935449559575,0.562231228549,0.704216374077
7.377416807163,6.935543578819,0.562183446617,0.704254173658
7.377505195019,6.935637597915,0.562135454029,0.704292135229
7.377593582874,6.935731616863,0.562087248794,0.704330260297
7.377681970729,6.935825635663,0.562038828899,0.704368550388
7.377770358585,6.935919654314,0.561990192306,0.704407007048
7.377858746440,6.936013672818,0.561941336948,0.704445631840
7.377947134296,6.936107691173,0.561892260738,0.704484426348
7.378035522151,6.936201709381,0.561842961558,0.704523392173
7.378123910007,6.936295727440,0.561793437265,0.704562530938
7.378212297862,6.936389745352,0.561743685690,0.704601844286
7.378300685718,6.936483763115,0.561693704635,0.704641333879
7.378389073573,6.936577780730,0.561643491876,0.704681001400
7.378477461429,6.936671798197,0.561593045158,0.704720848554
7.378565849284,6.936765815516,0.561542362201,0.704760877066
7.378654237140,6.936859832687,0.561491440692,0.704801088684
7.378742624995,6.936953849710,0.561440278290,0.704841485178
7.378831012851,6.937047866585,0.561388872624,0.704882068338
7.378919400706,6.937141883312,0.561337221293,0.704922839980
7.379007788562,6.937235899891,0.561285321862,0.704963801942
7.379096176417,6.937329916323,0.561233171868,0.705004956084
7.379184564272,6.937423932606,0.561180768813,0.705046304291
7.379272952128,6.937517948741,0.561128110167,0.705087848473
7.379361339983,6.937611964728,0.561075193369,0.705129590564
7.379449727839,6.937705980567,0.561022015819,0.705171532522
7.379538115694,6.937799996258,0.560968574889,0.705213676332
7.379626503550,6.937894011801,0.560914867911,0.705256024003
7.379714891405,6.937988027196,0.560860892184,0.705298577573
7.379803279261,6.938082042444,0.560806644970,0.705341339105
7.379891667116,6.938176057543,0.560752123494,0.705384310688
7.379980054972,6.938270072494,0.560697324945,0.705427494441
7.380068442827,6.938364087298,0.560642246473,0.705470892510
7.380156830683,6.938458101953,0.560586885189,0.705514507069
7.380245218538,6.938552116461,0.560531238165,0.705558340321
7.380333606394,6.938646130821,0.560475302434,0.705602394501
7.380421994249,6.938740145033,0.560419074986,0.705646671870
7.380510382105,6.938834159097,0.560362552772,0.705691174723
7.380598769960,6.938928173013,0.560305732701,0.705735905383
7.380687157816,6.939022186781,0.560248611636,0.705780866207
7.380775545671,6.939116200401,0.560191186401,0.705826059584
7.380863933526,6.939210213873,0.560133453771,0.705871487933
7.380952321382,6.939304227198,0.560075410480,0.705917153709
7.381040709237,6.939398240374,0.560017053214,0.705963059400
7.381129097093,6.939492253403,0.559958378612,0.706009207528
7.381217484948,6.939586266284,0.559899383266,0.706055600649
7.381305872804,6.939680279017,0.559840063721,0.706102241357
7.381394260659,6.939774291602,0.559780416469,0.706149132281
7.381482648515,6.939868304040,0.559720437957,0.706196276086
7.381571036370,6.939962316329,0.559660124576,0.706243675474
7.381659424226,6.940056328471,0.559599472669,0.706291333188
7.381747812081,6.940150340465,0.559538478523,0.706339252008
7.381836199937,6.940244352311,0.559477138373,0.706387434753
7.381924587792,6.940338364009,0.559415448399,0.706435884283
7.382012975648,6.940432375560,0.559353404725,0.706484603498
7.382101363503,6.940526386963,0.559291003417,0.706533595342
7.382189751359,6.940620398218,0.559228240485,0.706582862798
7.382278139214,6.940714409325,0.559165111877,0.706632408896
7.382366527069,6.940808420284,0.559101613486,0.706682236706
7.382454914925,6.940902431096,0.559037741138,0.706732349347
7.382543302780,6.940996441760,0.558973490600,0.706782749979
7.382631690636,6.941090452276,0.558908857575,0.706833441812
7.382720078491,6.941184462644,0.558843837701,0.706884428103
