#<MCEnsembleInfo>clover_s32_t256_ud860_s743</MCEnsembleInfo>
 # MomRay pd # P^2 = 2 # Box Irrep B2

E_lab,E_cm,Omega_re,Omega_im
3.200000000000,2.454314023251,-0.150276565644,-0.086123597233
3.200739968244,2.455278735509,-0.152916990452,-0.087681902024
3.201479936488,2.456243291790,-0.155547487372,-0.089235833836
3.202219904732,2.457207692278,-0.158167943548,-0.090785305545
3.202959872977,2.458171937157,-0.160778247927,-0.092330230899
3.203699841221,2.459136026609,-0.163378291260,-0.093870524539
3.204439809465,2.460099960817,-0.165967966126,-0.095406102005
3.205179777709,2.461063739963,-0.168547166932,-0.096936879750
3.205919745953,2.462027364230,-0.171115789931,-0.098462775151
3.206659714197,2.462990833800,-0.173673733226,-0.099983706520
3.207399682441,2.463954148853,-0.176220896780,-0.101499593113
3.208139650685,2.464917309572,-0.178757182423,-0.103010355141
3.208879618930,2.465880316136,-0.181282493859,-0.104515913778
3.209619587174,2.466843168727,-0.183796736670,-0.106016191172
3.210359555418,2.467805867525,-0.186299818324,-0.107511110449
3.211099523662,2.468768412709,-0.188791648175,-0.109000595727
3.211839491906,2.469730804459,-0.191272137467,-0.110484572115
3.212579460150,2.470693042955,-0.193741199340,-0.111962965728
3.213319428394,2.471655128375,-0.196198748825,-0.113435703687
3.214059396639,2.472617060899,-0.198644702850,-0.114902714130
3.214799364883,2.473578840704,-0.201078980238,-0.116363926211
3.215539333127,2.474540467968,-0.203501501705,-0.117819270112
3.216279301371,2.475501942870,-0.205912189860,-0.119268677040
3.217019269615,2.476463265587,-0.208310969201,-0.120712079237
3.217759237859,2.477424436296,-0.210697766113,-0.122149409980
3.218499206103,2.478385455173,-0.213072508863,-0.123580603585
3.219239174347,2.479346322396,-0.215435127597,-0.125005595408
3.219979142592,2.480307038141,-0.217785554332,-0.126424321851
3.220719110836,2.481267602583,-0.220123722952,-0.127836720359
3.221459079080,2.482228015899,-0.222449569200,-0.129242729422
3.222199047324,2.483188278263,-0.224763030671,-0.130642288578
3.222939015568,2.484148389851,-0.227064046804,-0.132035338413
3.223678983812,2.485108350837,-0.229352558873,-0.133421820558
3.224418952056,2.486068161396,-0.231628509979,-0.134801677691
3.225158920301,2.487027821702,-0.233891845035,-0.136174853535
3.225898888545,2.487987331929,-0.236142510764,-0.137541292858
3.226638856789,2.488946692251,-0.238380455678,-0.138900941469
3.227378825033,2.489905902840,-0.240605630075,-0.140253746217
3.228118793277,2.490864963870,-0.242817986020,-0.141599654991
3.228858761521,2.491823875514,-0.245017477337,-0.142938616711
3.229598729765,2.492782637943,-0.247204059590,-0.144270581332
3.230338698009,2.493741251330,-0.249377690078,-0.145595499834
3.231078666254,2.494699715847,-0.251538327809,-0.146913324224
3.231818634498,2.495658031665,-0.253685933497,-0.148224007526
3.232558602742,2.496616198956,-0.255820469536,-0.149527503782
3.233298570986,2.497574217890,-0.257941899993,-0.150823768041
3.234038539230,2.498532088638,-0.260050190586,-0.152112756360
3.234778507474,2.499489811370,-0.262145308671,-0.153394425794
3.235518475718,2.500447386258,-0.264227223221,-0.154668734392
3.236258443963,2.501404813469,-0.266295904814,-0.155935641192
3.236998412207,2.502362093174,-0.268351325610,-0.157195106211
3.237738380451,2.503319225543,-0.270393459335,-0.158447090442
3.238478348695,2.504276210743,-0.272422281265,-0.159691555846
3.239218316939,2.505233048944,-0.274437768204,-0.160928465345
3.239958285183,2.506189740314,-0.276439898465,-0.162157782813
3.240698253427,2.507146285021,-0.278428651852,-0.163379473071
3.241438221671,2.508102683233,-0.280404009642,-0.164593501877
3.242178189916,2.509058935117,-0.282365954560,-0.165799835919
3.242918158160,2.510015040841,-0.284314470764,-0.166998442806
