#<MCEnsembleInfo>clover_s32_t256_ud860_s743</MCEnsembleInfo>
 # MomRay oa # P^2 = 1 # Box Irrep E

E_lab,E_cm
3.209835817134,2.862669145277
4.778887435258,4.552976365108
5.238250891872,5.033001198943
5.607985685414,5.416763988783
6.035272018846,5.858014766440
6.256628211749,6.085821657132
6.465109074718,6.299957460996
6.859780952272,6.704358535722
6.956166387018,6.802946381256
6.977137572214,6.824388424171
7.226597011088,7.079232516525
7.546781390500,7.405790843547
7.907505765525,7.773060921810
8.059152296202,7.927279760153
8.271301671733,8.142865589409
8.453833953592,8.328213324434
8.560422290322,8.436388946166
8.575463575692,8.451650974832
