#<MCEnsembleInfo>clover_s32_t256_ud860_s743</MCEnsembleInfo>
 # MomRay oa # P^2 = 1 # Box Irrep A1

E_lab,E_cm
3.610734577346,3.305939027025
4.459085916247,4.216073513452
5.065222372463,4.852659718635
5.455990186058,5.259244962229
5.626879640549,5.436322576116
5.774382491585,5.588856933353
5.945911384134,5.765907634565
6.475146413497,6.310257501766
6.667533409758,6.507521066628
6.917133440222,6.763029180197
6.976497556146,6.823734081372
7.233401847820,7.086178868362
7.397151069336,7.253252553506
7.619764583782,7.480149796269
7.834738153109,7.699022703573
7.938988330323,7.805085801666
8.066409387910,7.934657464297
8.160278548280,8.030066914284
8.257555305129,8.128902034077
8.488377412091,8.363275659242
8.582473698357,8.458763706674
