#<MCEnsembleInfo>clover_s32_t256_ud860_s743</MCEnsembleInfo>
 # MomRay pd # P^2 = 2 # Box Irrep A1

E_lab,E_cm
4.222542181445,3.689650362678
4.484047480018,3.986268822819
4.776412220330,4.312513307022
5.010378710638,4.570290160236
5.272700629076,4.856442035955
5.483382753696,5.084402004981
5.833988112164,5.460684445891
5.833988241726,5.460684584310
5.927180573753,5.560137307531
6.161590411483,5.809376362710
6.275687095304,5.930253438335
6.453805226217,6.118436011161
6.602209434028,6.274777026756
6.729240703026,6.408302252859
6.949264000384,6.638970362320
7.026481843548,6.719754788863
7.181861926316,6.882063502569
7.260288685158,6.963867396538
7.283367852262,6.987925628975
7.464579867862,7.176601558427
7.520846620411,7.235108237786
7.810468696418,7.535720176761
7.865356543357,7.592594476123
7.962558829763,7.693243817933
8.118801475370,7.854845302181
8.291806947970,8.033537190251
8.302164844162,8.044227646230
8.339595826198,8.082853201010
8.408296618358,8.153717516999
8.542645075440,8.292191640915
