#<MCEnsembleInfo>clover_s32_t256_ud860_s743</MCEnsembleInfo>
 # MomRay pd # P^2 = 2 # Box Irrep B2

E_lab,E_cm
3.576790796568,2.928666885657
4.479664103708,3.981337439451
4.782752123345,4.319534141327
4.943484161497,4.496853675593
5.471415256665,5.071493097264
5.738376983693,5.358416532121
5.971093231610,5.606925334379
6.178028235048,5.826807890927
6.328691467021,5.986317149089
6.495530242257,6.162432186467
6.647701541158,6.322625491443
7.068619671716,6.763803766233
7.389714301392,7.098699513356
7.526684704404,7.241176697488
7.979573137718,7.710852403264
8.567780677393,8.318084097954
