#<MCEnsembleInfo>clover_s32_t256_ud860_s743</MCEnsembleInfo>
 # MomRay pd # P^2 = 2 # Box Irrep A1

E_lab,E_cm
3.939968244133,3.362589342977
4.319412589651,3.800129266797
4.387991910969,3.877902826974
5.041961567609,4.604892373767
5.223899651875,4.803413879481
5.262795863395,4.845686496720
5.631841224356,5.244167512683
5.869981595872,5.499121862679
5.953595567313,5.588287528738
6.011235954793,5.649656186789
6.416255043066,6.078814531008
6.575224498100,6.246377712334
6.634427342000,6.308667330032
6.676144545271,6.352524168712
6.898304745730,6.585610502427
7.166712937285,6.866253101232
7.203591345984,6.904736461637
7.266024202017,6.969846844015
7.280509285997,6.984946154997
7.543801909142,7.258967183361
7.748137790679,7.471097412568
7.826782733191,7.552627706786
8.121889848338,7.858037416128
8.234601613060,7.974479359214
8.285168549733,8.026685195161
8.308832435855,8.051108853558
8.338017447426,8.081224676886
8.359068328476,8.102942715141
8.652367302051,8.405183951248
