#<MCEnsembleInfo>clover_s32_t256_ud860_s743</MCEnsembleInfo>
 # MomRay cd # P^2 = 3 # Box Irrep A1

E_lab,E_cm
4.278960904638,3.461934778489
4.702968907104,3.974091409150
4.810444439941,4.100714778774
4.840343334423,4.135747765783
5.895324298295,5.332010368440
6.152771969127,5.615344058130
6.250871024548,5.722663239491
6.292434124844,5.768033737990
6.337151884765,5.816784334809
6.350228615298,5.831028164367
7.121349380170,6.662514764076
7.320757274702,6.875243491120
7.409145130174,6.969283861852
7.505705597790,7.071852834144
7.529507275956,7.097109679705
7.563299659253,7.132950842586
8.158459381247,7.761181962984
8.326451372078,7.937586436611
8.407123933602,8.022170455808
8.447805778310,8.064794383934
8.504371519030,8.124027383065
8.531877070295,8.152816220774
8.567958922989,8.190568117848
8.601500521365,8.225648740746
