#<MCEnsembleInfo>clover_s32_t256_ud860_s743</MCEnsembleInfo>
 # MomRay oa # P^2 = 4 # Box Irrep A1

E_lab,E_cm
4.319412589651,3.197599063218
4.586050188129,3.549531092623
5.175328213887,4.283846025583
5.223899651875,4.342400513808
5.631841224356,4.825448189113
5.953595567313,5.197366143402
5.985344841353,5.233704951501
6.416255043066,5.721507094038
6.600418635398,5.927296248035
6.634427342000,5.965143821044
7.025588812722,6.397359831594
7.266024202017,6.660512169027
7.334553545420,6.735205294576
7.639086605737,7.065618077663
7.685641048647,7.115925307232
7.812794881281,7.253073728181
7.826782733191,7.268138867828
7.961567598133,7.413087971223
8.197282235539,7.665686577114
8.234601613060,7.705580988820
8.338017447426,7.815999590778
