#<MCEnsembleInfo>cls21_s64_t128_D200</MCEnsembleInfo>
 # MomRay ar # P^2 = 0 # Box Irrep A1g

E_lab/mref,E_lab/mref_upper_err,E_lab/mref_lower_err,E_lab/mref_sym_err,E_cm/mref,E_cm/mref_upper_err,E_cm/mref_lower_err,E_cm/mref_sym_err,(q/mref)^2,(q/mref)^2_upper_err,(q/mref)^2_lower_err,(q/mref)^2_sym_err,q/mref_cot_delta,q/mref_cot_delta_upper_err,q/mref_cot_delta_lower_err,q/mref_cot_delta_sym_err
2.001584474529,0.000276112307,0.000286633154,0.000289823152,2.001584474529,0.000276112307,0.000286633154,0.000289823152,0.001585102168,0.000276330514,0.000286862128,0.000290053025,-0.751611267973,0.116882185016,0.113426437769,0.136745758711
2.009023290357,0.008917054082,0.008634934997,0.009000944731,2.009023290357,0.008917054082,0.008634934997,0.009000944731,0.009043645299,0.008955441237,0.008674065317,0.009034948374,-0.203505624804,2.003835787660,-1.753218652027,85.742085229921
2.072139605253,0.000861229666,0.000877110768,0.000885872074,2.072139605253,0.000861229666,0.000877110768,0.000885872074,0.073440635915,0.000892305582,0.000908774349,0.000917871619,-44.027245963111,22.068795429782,13.716345483285,318.287359361039
2.074749215558,0.008664330166,0.008492865591,0.008846700196,2.074749215558,0.008664330166,0.008492865591,0.008846700196,0.076146076865,0.008986159925,0.008810623430,0.009171577126,-2.126272057498,1.827326550034,1.199540078715,20.191477808219
2.115563570797,0.007283587805,0.007600958593,0.007590962948,2.115563570797,0.007283587805,0.007600958593,0.007590962948,0.118902305521,0.007704818425,0.008041683782,0.008030798081,0.228879425221,0.162865335461,0.186833932262,0.313738870516
2.135192467486,0.008537270036,0.008263154820,0.008615773551,2.135192467486,0.008537270036,0.008263154820,0.008615773551,0.139761718303,0.009112990697,0.008822185732,0.009193208588,1.660112088395,2.138296627551,2.588774369190,17.823028632785
2.166857531980,0.001249300716,0.001197599759,0.001211193414,2.166857531980,0.001249300716,0.001197599759,0.001211193414,0.173817890974,0.001353588239,0.001297556811,0.001312334614,-0.361917825646,0.018490156320,0.018890711405,0.018836056572
2.203260161646,0.007117562666,0.007342335143,0.007606345127,2.203260161646,0.007117562666,0.007342335143,0.007606345127,0.213588834974,0.007840697748,0.008091134781,0.008381336261,1.137716879685,0.623300783841,2.992379682786,39.515869570063
2.222071697554,0.008578193688,0.008150752872,0.008619721137,2.222071697554,0.008578193688,0.008150752872,0.008619721137,0.234400657267,0.009529337196,0.009056619765,0.009572238761,-0.552575429271,0.807021827114,0.035885465864,12.526017421006
2.223212438312,0.001897717376,0.002016479555,0.001946345317,2.223212438312,0.001897717376,0.002016479555,0.001946345317,0.235668386466,0.002109554529,0.002241553012,0.002163729075,-0.499261731541,0.051583007921,0.050266321671,0.052602064033
